"chr" "start" "end" "strand" "transcript_id" "exon_number"
"24282" "17" 43171214 43171302 "+" "ENST00000590996.6" 1
"24283" "17" 42676564 42676994 "-" "ENST00000591022.6" 1
"24284" "19" 1356324 1356392 "+" "ENST00000591337.7" 2
"24285" "19" 1354959 1355135 "+" "ENST00000591337.7" 1
"24286" "19" 36573140 36573292 "-" "ENST00000591340.6" 1
"24287" "19" 36572347 36572392 "-" "ENST00000591340.6" 2
"24288" "19" 36762607 36762675 "-" "ENST00000591344.2" 2
"24289" "19" 36772725 36772807 "-" "ENST00000591344.2" 1
"24290" "18" 54942792 54942803 "-" "ENST00000591504.6" 3
"24291" "18" 54945388 54945477 "-" "ENST00000591504.6" 2
"24292" "18" 54959336 54959461 "-" "ENST00000591504.6" 1
"24293" "19" 10013483 10013497 "+" "ENST00000591589.3" 1
"24294" "17" 44503371 44503406 "-" "ENST00000591680.6" 1
"24295" "18" 58864877 58865385 "+" "ENST00000591808.6" 1
"24296" "18" 58918271 58918287 "+" "ENST00000591808.6" 3
"24297" "18" 58865470 58865579 "+" "ENST00000591808.6" 2
"24298" "19" 38876743 38876781 "-" "ENST00000591812.2" 2
"24299" "19" 38878232 38878275 "-" "ENST00000591812.2" 1
"24300" "19" 1605410 1605462 "-" "ENST00000591899.8" 1
"24301" "17" 42980054 42980080 "-" "ENST00000591916.7" 1
"24302" "19" 9309350 9309838 "-" "ENST00000591998.6" 1
"24303" "19" 9305120 9305124 "-" "ENST00000591998.6" 2
"24304" "17" 76540044 76540141 "+" "ENST00000592014.6" 1
"24305" "18" 23662731 23662911 "-" "ENST00000592179.6" 1
"24306" "19" 12995475 12995837 "+" "ENST00000592199.6" 1
"24307" "17" 76384609 76384806 "+" "ENST00000592299.6" 1
"24308" "17" 76385451 76385644 "+" "ENST00000592299.6" 2
"24309" "19" 19668839 19668963 "+" "ENST00000592502.2" 1
"24310" "17" 44830062 44830287 "-" "ENST00000592524.6" 1
"24311" "17" 44805818 44805837 "-" "ENST00000592524.6" 3
"24312" "17" 44807394 44807469 "-" "ENST00000592524.6" 2
"24313" "19" 44497335 44497377 "-" "ENST00000592529.6" 2
"24314" "19" 44500275 44500522 "-" "ENST00000592529.6" 1
"24315" "19" 44914608 44914733 "+" "ENST00000592535.6" 1
"24316" "19" 44914872 44914891 "+" "ENST00000592535.6" 2
"24317" "19" 11155777 11155782 "-" "ENST00000592540.6" 1
"24318" "17" 68600667 68601367 "-" "ENST00000592554.2" 1
"24319" "19" 1438396 1438425 "+" "ENST00000592588.7" 1
"24320" "18" 35972679 35972728 "+" "ENST00000592875.6" 1
"24321" "19" 9433668 9433786 "-" "ENST00000592904.7" 5
"24322" "19" 9434798 9434859 "-" "ENST00000592904.7" 3
"24323" "19" 9435284 9435573 "-" "ENST00000592904.7" 1
"24324" "19" 9435108 9435193 "-" "ENST00000592904.7" 2
"24325" "19" 9434075 9434235 "-" "ENST00000592904.7" 4
"24326" "19" 9420090 9420218 "-" "ENST00000592904.7" 6
"24327" "19" 44942237 44942277 "+" "ENST00000592954.2" 1
"24328" "17" 44947628 44947773 "-" "ENST00000593135.6" 1
"24329" "17" 44936345 44936358 "-" "ENST00000593135.6" 2
"24330" "1" 148679465 148679746 "-" "ENST00000593495.4" 1
"24331" "19" 49061998 49062009 "-" "ENST00000593537.2" 2
"24332" "19" 49063739 49064818 "-" "ENST00000593537.2" 1
"24333" "19" 42065771 42065820 "-" "ENST00000593562.6" 2
"24334" "19" 42069241 42070206 "-" "ENST00000593562.6" 1
"24335" "17" 7012624 7012683 "+" "ENST00000593646.6" 1
"24336" "19" 48755891 48756236 "+" "ENST00000593756.6" 2
"24337" "19" 48755524 48755784 "+" "ENST00000593756.6" 1
"24338" "X" 153056470 153056638 "+" "ENST00000593810.3" 1
"24339" "X" 153056950 153057055 "+" "ENST00000593810.3" 2
"24340" "19" 18323021 18323076 "-" "ENST00000593829.6" 1
"24341" "5" 170234115 170234198 "+" "ENST00000593851.5" 2
"24342" "5" 170232985 170233007 "+" "ENST00000593851.5" 1
"24343" "19" 49362333 49362416 "-" "ENST00000593945.6" 1
"24344" "19" 49360076 49360081 "-" "ENST00000593945.6" 2
"24345" "19" 18086824 18086934 "-" "ENST00000593993.7" 1
"24346" "19" 58519742 58519810 "-" "ENST00000594051.6" 1
"24347" "X" 104105258 104105288 "-" "ENST00000594199.3" 2
"24348" "X" 104156878 104157009 "-" "ENST00000594199.3" 1
"24349" "19" 51009548 51009592 "-" "ENST00000594211.2" 1
"24350" "X" 154551988 154552002 "+" "ENST00000594239.6" 2
"24351" "X" 154547620 154547745 "+" "ENST00000594239.6" 1
"24352" "19" 58476352 58476504 "+" "ENST00000594369.6" 1
"24353" "19" 58477179 58477218 "+" "ENST00000594369.6" 2
"24354" "19" 14979309 14979864 "-" "ENST00000594383.2" 1
"24355" "19" 14972911 14972917 "-" "ENST00000594383.2" 2
"24356" "19" 52093846 52093971 "-" "ENST00000594440.6" 2
"24357" "19" 52088937 52089002 "-" "ENST00000594440.6" 3
"24358" "19" 52084802 52084878 "-" "ENST00000594440.6" 4
"24359" "19" 52095575 52095765 "-" "ENST00000594440.6" 1
"24360" "19" 23914886 23914994 "+" "ENST00000594466.6" 1
"24361" "X" 135718935 135718940 "+" "ENST00000594565.6" 2
"24362" "X" 135713639 135713690 "+" "ENST00000594565.6" 1
"24363" "19" 4338754 4338827 "-" "ENST00000594605.6" 1
"24364" "19" 23003031 23003176 "-" "ENST00000594710.2" 1
"24365" "19" 7629793 7629833 "+" "ENST00000594797.6" 1
"24366" "4" 109848107 109848201 "+" "ENST00000594814.6" 1
"24367" "19" 47670443 47670544 "+" "ENST00000594866.3" 2
"24368" "19" 47609134 47609168 "+" "ENST00000594866.3" 1
"24369" "19" 47673570 47673574 "+" "ENST00000594866.3" 3
"24370" "19" 57830299 57830528 "+" "ENST00000594901.2" 1
"24371" "19" 22052484 22052632 "+" "ENST00000594947.6" 1
"24372" "X" 149583180 149583244 "-" "ENST00000595065.6" 4
"24373" "X" 149583547 149583633 "-" "ENST00000595065.6" 2
"24374" "X" 149583320 149583388 "-" "ENST00000595065.6" 3
"24375" "X" 149587394 149587459 "-" "ENST00000595065.6" 1
"24376" "19" 48993887 48993911 "+" "ENST00000595090.6" 1
"24377" "X" 49162758 49162889 "+" "ENST00000595224.6" 1
"24378" "17" 137569 137590 "+" "ENST00000595228.4" 1
"24379" "X" 48411373 48411392 "-" "ENST00000595235.6" 2
"24380" "X" 48411862 48411960 "-" "ENST00000595235.6" 1
"24381" "X" 154182596 154182677 "+" "ENST00000595290.6" 1
"24382" "19" 46003008 46003018 "+" "ENST00000595358.5" 2
"24383" "19" 45995467 45995504 "+" "ENST00000595358.5" 1
"24384" "13" 46213002 46213034 "+" "ENST00000595396.3" 2
"24385" "13" 46211928 46212259 "+" "ENST00000595396.3" 1
"24386" "19" 47332175 47332349 "+" "ENST00000595464.3" 1
"24387" "19" 47340785 47340799 "+" "ENST00000595464.3" 2
"24388" "19" 48270081 48270219 "+" "ENST00000595607.6" 1
"24389" "19" 48271727 48271828 "+" "ENST00000595607.6" 3
"24390" "19" 48279731 48279799 "+" "ENST00000595607.6" 4
"24391" "19" 48271245 48271449 "+" "ENST00000595607.6" 2
"24392" "19" 4302386 4302389 "-" "ENST00000595645.6" 1
"24393" "19" 52854273 52854345 "-" "ENST00000595646.6" 2
"24394" "19" 52857572 52857619 "-" "ENST00000595646.6" 1
"24395" "X" 48383539 48383564 "+" "ENST00000595689.3" 1
"24396" "X" 48384034 48384053 "+" "ENST00000595689.3" 2
"24397" "19" 16572365 16572415 "-" "ENST00000595753.6" 1
"24398" "19" 51065068 51065092 "-" "ENST00000595793.6" 1
"24399" "19" 50983851 50983917 "-" "ENST00000595820.6" 1
"24400" "19" 50982400 50982457 "-" "ENST00000595820.6" 2
"24401" "19" 50418938 50418962 "+" "ENST00000595883.6" 1
"24402" "19" 8842658 8842678 "+" "ENST00000595891.2" 3
"24403" "19" 8832377 8832522 "+" "ENST00000595891.2" 1
"24404" "19" 8840915 8840999 "+" "ENST00000595891.2" 2
"24405" "19" 52297169 52297223 "+" "ENST00000595962.6" 1
"24406" "19" 52300394 52300412 "+" "ENST00000595962.6" 2
"24407" "19" 7682242 7682253 "+" "ENST00000596148.3" 2
"24408" "19" 7680833 7680878 "+" "ENST00000596148.3" 1
"24409" "19" 22784017 22784151 "-" "ENST00000596209.4" 1
"24410" "19" 42217008 42217045 "-" "ENST00000596251.6" 2
"24411" "19" 42217632 42217677 "-" "ENST00000596251.6" 1
"24412" "6" 52284675 52284742 "-" "ENST00000596288.7" 1
"24413" "19" 49560692 49560692 "-" "ENST00000596358.6" 2
"24414" "19" 49580515 49580556 "-" "ENST00000596358.6" 1
"24415" "19" 51387444 51387449 "-" "ENST00000596399.2" 2
"24416" "19" 51387919 51387974 "-" "ENST00000596399.2" 1
"24417" "X" 52752661 52752680 "+" "ENST00000596480.6" 2
"24418" "X" 52751252 52751318 "+" "ENST00000596480.6" 1
"24419" "X" 72782561 72782660 "-" "ENST00000596535.3" 1
"24420" "19" 17755118 17755164 "+" "ENST00000596536.6" 4
"24421" "19" 17754592 17754681 "+" "ENST00000596536.6" 3
"24422" "19" 17754317 17754361 "+" "ENST00000596536.6" 2
"24423" "19" 17751477 17751577 "+" "ENST00000596536.6" 1
"24424" "19" 12669404 12669415 "-" "ENST00000596731.7" 1
"24425" "19" 8608134 8608248 "-" "ENST00000597188.6" 2
"24426" "19" 8610644 8610715 "-" "ENST00000597188.6" 1
"24427" "19" 8605711 8605809 "-" "ENST00000597188.6" 3
"24428" "19" 7519205 7519242 "+" "ENST00000597229.2" 2
"24429" "19" 7516103 7516249 "+" "ENST00000597229.2" 1
"24430" "19" 49474215 49474281 "+" "ENST00000597551.6" 1
"24431" "19" 49474603 49474639 "+" "ENST00000597551.6" 2
"24432" "19" 58369819 58369928 "-" "ENST00000597582.2" 2
"24433" "19" 58369333 58369361 "-" "ENST00000597582.2" 3
"24434" "19" 58380941 58381030 "-" "ENST00000597582.2" 1
"24435" "19" 39335977 39336043 "-" "ENST00000597595.6" 1
"24436" "19" 39406847 39406904 "+" "ENST00000597629.3" 1
"24437" "19" 41928040 41928449 "-" "ENST00000597630.3" 1
"24438" "19" 41912920 41912932 "-" "ENST00000597630.3" 2
"24439" "19" 57599885 57600134 "+" "ENST00000597700.6" 1
"24440" "19" 57600728 57600779 "+" "ENST00000597700.6" 2
"24441" "19" 57604277 57604345 "+" "ENST00000597700.6" 3
"24442" "19" 23117025 23117173 "+" "ENST00000597761.7" 1
"24443" "19" 57584145 57584356 "+" "ENST00000597850.2" 1
"24444" "19" 7702015 7702131 "-" "ENST00000597921.6" 1
"24445" "19" 7699761 7699845 "-" "ENST00000597921.6" 2
"24446" "19" 52007293 52007330 "-" "ENST00000598071.6" 2
"24447" "19" 52003712 52003900 "-" "ENST00000598071.6" 3
"24448" "19" 52008141 52008211 "-" "ENST00000598071.6" 1
"24449" "X" 104076140 104076236 "-" "ENST00000598087.4" 1
"24450" "X" 104074341 104074357 "-" "ENST00000598087.4" 2
"24451" "19" 17267443 17267527 "+" "ENST00000598188.6" 1
"24452" "19" 17268794 17268806 "+" "ENST00000598188.6" 2
"24453" "19" 50833527 50833574 "-" "ENST00000598239.6" 1
"24454" "19" 50831493 50831523 "-" "ENST00000598239.6" 2
"24455" "19" 40472607 40472621 "+" "ENST00000598249.6" 2
"24456" "19" 40467001 40467305 "+" "ENST00000598249.6" 1
"24457" "19" 43415881 43415919 "+" "ENST00000598265.2" 2
"24458" "19" 43414890 43415038 "+" "ENST00000598265.2" 1
"24459" "19" 49691821 49691889 "+" "ENST00000598293.6" 2
"24460" "19" 49691116 49691340 "+" "ENST00000598293.6" 1
"24461" "19" 49692239 49692252 "+" "ENST00000598293.6" 3
"24462" "19" 58150752 58150789 "-" "ENST00000598312.6" 1
"24463" "19" 58129504 58129511 "-" "ENST00000598312.6" 4
"24464" "19" 58142557 58142661 "-" "ENST00000598312.6" 3
"24465" "19" 58143105 58143198 "-" "ENST00000598312.6" 2
"24466" "19" 52690443 52690496 "-" "ENST00000598322.3" 1
"24467" "19" 52660825 52660843 "-" "ENST00000598322.3" 2
"24468" "5" 17655539 17655849 "-" "ENST00000598383.3" 1
"24469" "19" 56645568 56645667 "+" "ENST00000598409.6" 2
"24470" "19" 56643159 56643210 "+" "ENST00000598409.6" 1
"24471" "19" 50511117 50511191 "-" "ENST00000598418.6" 1
"24472" "19" 50510432 50510448 "-" "ENST00000598418.6" 2
"24473" "19" 49086405 49086414 "+" "ENST00000598441.6" 2
"24474" "19" 49085451 49085636 "+" "ENST00000598441.6" 1
"24475" "X" 143720669 143720752 "-" "ENST00000598475.2" 1
"24476" "19" 53251551 53251605 "-" "ENST00000598513.6" 3
"24477" "19" 53253086 53253156 "-" "ENST00000598513.6" 2
"24478" "19" 53254834 53254873 "-" "ENST00000598513.6" 1
"24479" "19" 55476617 55476807 "+" "ENST00000598519.2" 1
"24480" "19" 55479834 55479910 "+" "ENST00000598519.2" 2
"24481" "X" 152637895 152638202 "+" "ENST00000598523.3" 1
"24482" "X" 116436606 116436709 "+" "ENST00000598581.3" 1
"24483" "X" 135764445 135764450 "-" "ENST00000598716.3" 2
"24484" "X" 135768108 135768191 "-" "ENST00000598716.3" 1
"24485" "19" 41860255 41860289 "+" "ENST00000598742.6" 1
"24486" "X" 149594701 149595314 "-" "ENST00000598963.3" 1
"24487" "19" 17527267 17527340 "+" "ENST00000599164.6" 1
"24488" "14" 69574542 69574871 "-" "ENST00000599174.3" 1
"24489" "14" 69573623 69573650 "-" "ENST00000599174.3" 2
"24490" "19" 35449714 35449714 "+" "ENST00000599180.3" 2
"24491" "19" 35448257 35448379 "+" "ENST00000599180.3" 1
"24492" "19" 43577115 43577191 "+" "ENST00000599207.6" 2
"24493" "19" 43575801 43576919 "+" "ENST00000599207.6" 1
"24494" "X" 49186298 49186373 "-" "ENST00000599218.6" 1
"24495" "X" 154257582 154257619 "+" "ENST00000599405.4" 1
"24496" "19" 46495466 46495867 "-" "ENST00000599531.2" 1
"24497" "19" 56601507 56601558 "+" "ENST00000599599.7" 2
"24498" "19" 56595302 56595428 "+" "ENST00000599599.7" 1
"24499" "19" 18193218 18193281 "+" "ENST00000599612.3" 1
"24500" "12" 6970913 6970923 "+" "ENST00000599672.6" 1
"24501" "X" 154585133 154585206 "+" "ENST00000599837.3" 1
"24502" "19" 4343562 4343593 "+" "ENST00000599840.6" 1
"24503" "19" 48106530 48106561 "-" "ENST00000599921.6" 2
"24504" "19" 48110487 48110817 "-" "ENST00000599921.6" 1
"24505" "21" 43565182 43565238 "+" "ENST00000599962.2" 1
"24506" "19" 48511577 48511835 "-" "ENST00000600059.6" 1
"24507" "19" 50637412 50637426 "-" "ENST00000600079.6" 3
"24508" "19" 50639790 50639881 "-" "ENST00000600079.6" 1
"24509" "19" 50639025 50639162 "-" "ENST00000600079.6" 2
"24510" "19" 50476389 50476848 "-" "ENST00000600100.6" 1
"24511" "19" 8147481 8147497 "-" "ENST00000600128.6" 2
"24512" "19" 8149449 8149592 "-" "ENST00000600128.6" 1
"24513" "19" 52139732 52139938 "-" "ENST00000600228.6" 1
"24514" "19" 52130513 52130588 "-" "ENST00000600228.6" 2
"24515" "19" 6464608 6464701 "+" "ENST00000600229.6" 2
"24516" "19" 6464271 6464350 "+" "ENST00000600229.6" 1
"24517" "X" 149631581 149631792 "-" "ENST00000600449.8" 1
"24518" "19" 6424702 6424811 "-" "ENST00000600480.2" 1
"24519" "19" 8321496 8321530 "+" "ENST00000600659.3" 1
"24520" "19" 7535717 7535788 "+" "ENST00000600737.6" 1
"24521" "19" 22832291 22832379 "+" "ENST00000600766.3" 1
"24522" "5" 17491769 17492076 "-" "ENST00000600799.3" 1
"24523" "11" 118607615 118607699 "+" "ENST00000600882.6" 1
"24524" "11" 118613816 118613836 "+" "ENST00000600882.6" 2
"24525" "X" 105220398 105220429 "-" "ENST00000600991.6" 2
"24526" "X" 105220595 105220694 "-" "ENST00000600991.6" 1
"24527" "X" 154411539 154411843 "+" "ENST00000601016.6" 1
"24528" "19" 47778703 47778785 "+" "ENST00000601048.6" 1
"24529" "19" 34926903 34927216 "+" "ENST00000601142.2" 1
"24530" "19" 34929884 34929947 "+" "ENST00000601142.2" 2
"24531" "19" 58098174 58098231 "-" "ENST00000601144.6" 1
"24532" "19" 58090268 58090386 "-" "ENST00000601144.6" 2
"24533" "19" 42442833 42442946 "-" "ENST00000601181.6" 1
"24534" "19" 34594564 34596594 "-" "ENST00000601241.6" 2
"24535" "19" 34675630 34677159 "-" "ENST00000601241.6" 1
"24536" "19" 8822660 8822724 "-" "ENST00000601372.6" 5
"24537" "19" 8831318 8831401 "-" "ENST00000601372.6" 2
"24538" "19" 8825002 8825108 "-" "ENST00000601372.6" 3
"24539" "19" 8832209 8832304 "-" "ENST00000601372.6" 1
"24540" "19" 8824082 8824417 "-" "ENST00000601372.6" 4
"24541" "5" 75611453 75611634 "+" "ENST00000601380.4" 1
"24542" "19" 58395656 58396089 "+" "ENST00000601382.3" 1
"24543" "19" 53048867 53049251 "+" "ENST00000601417.3" 2
"24544" "19" 53044740 53044958 "+" "ENST00000601417.3" 1
"24545" "19" 20661447 20661571 "-" "ENST00000601440.6" 1
"24546" "11" 71224697 71224796 "-" "ENST00000601538.6" 2
"24547" "11" 71252425 71252577 "-" "ENST00000601538.6" 1
"24548" "11" 71147327 71147338 "-" "ENST00000601538.6" 3
"24549" "19" 22286441 22286525 "+" "ENST00000601693.2" 1
"24550" "19" 51263883 51264072 "+" "ENST00000601727.6" 2
"24551" "19" 51251080 51251545 "+" "ENST00000601727.6" 1
"24552" "19" 6772708 6772807 "+" "ENST00000602142.6" 1
"24553" "19" 53013921 53014090 "+" "ENST00000602168.2" 1
"24554" "X" 102438553 102438674 "-" "ENST00000602195.6" 2
"24555" "X" 102439870 102440008 "-" "ENST00000602195.6" 1
"24556" "X" 102380037 102380089 "-" "ENST00000602195.6" 3
"24557" "19" 47019837 47019997 "+" "ENST00000602212.6" 1
"24558" "19" 47021006 47021047 "+" "ENST00000602212.6" 2
"24559" "X" 26216169 26216198 "+" "ENST00000602297.1" 1
"24560" "X" 26217085 26217301 "+" "ENST00000602297.1" 2
"24561" "16" 22165547 22165582 "+" "ENST00000602312.3" 2
"24562" "16" 22162506 22162564 "+" "ENST00000602312.3" 1
"24563" "1" 110407621 110407694 "-" "ENST00000602318.6" 1
"24564" "1" 21002743 21002808 "-" "ENST00000602326.6" 5
"24565" "1" 21176722 21176897 "-" "ENST00000602326.6" 1
"24566" "1" 21176175 21176358 "-" "ENST00000602326.6" 2
"24567" "1" 21050866 21050994 "-" "ENST00000602326.6" 4
"24568" "1" 21089138 21089213 "-" "ENST00000602326.6" 3
"24569" "12" 123364701 123364847 "-" "ENST00000602398.3" 1
"24570" "13" 95677139 95677255 "+" "ENST00000602402.6" 1
"24571" "10" 68407190 68407277 "-" "ENST00000602465.6" 1
"24572" "8" 73878823 73878862 "-" "ENST00000602593.6" 1
"24573" "1" 20661351 20661369 "-" "ENST00000602624.7" 1
"24574" "X" 110520896 110521129 "+" "ENST00000602699.2" 1
"24575" "3" 196942674 196942716 "+" "ENST00000602845.2" 1
"24576" "1" 13416351 13416354 "+" "ENST00000602960.2" 2
"24577" "1" 13410450 13410544 "+" "ENST00000602960.2" 1
"24578" "17" 35731639 35731878 "+" "ENST00000603017.2" 1
"24579" "17" 35735038 35735184 "+" "ENST00000603017.2" 2
"24580" "7" 92470382 92470608 "-" "ENST00000603053.2" 2
"24581" "7" 92477382 92477946 "-" "ENST00000603053.2" 1
"24582" "4" 89112067 89112974 "+" "ENST00000603357.3" 2
"24583" "4" 89111533 89111883 "+" "ENST00000603357.3" 1
"24584" "19" 9324695 9324780 "+" "ENST00000603380.6" 2
"24585" "19" 9324179 9324228 "+" "ENST00000603380.6" 1
"24586" "19" 9338494 9338549 "+" "ENST00000603380.6" 4
"24587" "19" 9337796 9337858 "+" "ENST00000603380.6" 3
"24588" "14" 70457349 70457499 "+" "ENST00000603540.2" 2
"24589" "14" 70452174 70452263 "+" "ENST00000603540.2" 1
"24590" "12" 51270256 51270415 "-" "ENST00000603798.6" 1
"24591" "12" 51269279 51269316 "-" "ENST00000603798.6" 2
"24592" "20" 2814987 2815017 "+" "ENST00000603872.2" 1
"24593" "20" 2815152 2815184 "+" "ENST00000603872.2" 2
"24594" "9" 134026208 134026747 "+" "ENST00000603928.3" 3
"24595" "9" 134025845 134026090 "+" "ENST00000603928.3" 2
"24596" "9" 134025481 134025536 "+" "ENST00000603928.3" 1
"24597" "X" 49058999 49059095 "+" "ENST00000603986.6" 1
"24598" "X" 49061959 49062041 "+" "ENST00000603986.6" 2
"24599" "1" 145957928 145958017 "-" "ENST00000604000.4" 1
"24600" "4" 151325353 151325605 "-" "ENST00000604030.7" 1
"24601" "X" 53094142 53094284 "+" "ENST00000604062.7" 1
"24602" "X" 53099472 53099608 "+" "ENST00000604062.7" 2
"24603" "X" 53123469 53124272 "+" "ENST00000604062.7" 3
"24604" "19" 35119363 35119376 "+" "ENST00000604404.6" 3
"24605" "19" 35115823 35115959 "+" "ENST00000604404.6" 1
"24606" "19" 35116264 35116359 "+" "ENST00000604404.6" 2
"24607" "12" 121804724 121804737 "+" "ENST00000604567.6" 2
"24608" "12" 121804009 121804233 "+" "ENST00000604567.6" 1
"24609" "4" 69639641 69639642 "-" "ENST00000604629.6" 1
"24610" "17" 35752851 35753239 "-" "ENST00000604641.6" 1
"24611" "10" 73785606 73785878 "+" "ENST00000604729.6" 1
"24612" "17" 35868743 35868891 "-" "ENST00000604834.6" 1
"24613" "14" 23095113 23095136 "-" "ENST00000605057.6" 1
"24614" "17" 35795378 35795641 "-" "ENST00000605424.6" 1
"24615" "17" 35760887 35760941 "+" "ENST00000605587.2" 1
"24616" "19" 35249002 35249022 "+" "ENST00000605618.6" 1
"24617" "10" 102152389 102152410 "+" "ENST00000605788.6" 1
"24618" "17" 35809484 35809569 "+" "ENST00000605844.6" 1
"24619" "1" 2395784 2395790 "+" "ENST00000605895.6" 2
"24620" "1" 2391841 2391958 "+" "ENST00000605895.6" 1
"24621" "6" 33621322 33621602 "+" "ENST00000605930.3" 1
"24622" "14" 92121642 92121706 "-" "ENST00000605997.6" 1
"24623" "14" 92117638 92117642 "-" "ENST00000605997.6" 2
"24624" "6" 106974647 106974729 "-" "ENST00000606017.2" 1
"24625" "6" 116060312 116060891 "-" "ENST00000606080.2" 1
"24626" "1" 152759561 152759588 "+" "ENST00000606109.2" 2
"24627" "1" 152758025 152758059 "+" "ENST00000606109.2" 1
"24628" "6" 13584076 13584110 "+" "ENST00000606117.2" 3
"24629" "6" 13579451 13579609 "+" "ENST00000606117.2" 2
"24630" "6" 13574601 13574744 "+" "ENST00000606117.2" 1
"24631" "10" 80408551 80408643 "+" "ENST00000606162.6" 1
"24632" "10" 80420466 80420467 "+" "ENST00000606162.6" 2
"24633" "5" 93741564 93741600 "-" "ENST00000606183.4" 1
"24634" "16" 1230162 1230184 "-" "ENST00000606293.5" 1
"24635" "12" 123233075 123233141 "-" "ENST00000606320.6" 1
"24636" "12" 123230365 123230522 "-" "ENST00000606320.6" 2
"24637" "1" 61725121 61725141 "-" "ENST00000606498.5" 1
"24638" "1" 47996790 47997385 "-" "ENST00000606738.3" 1
"24639" "11" 57237005 57237250 "-" "ENST00000606794.2" 1
"24640" "1" 145964184 145964575 "-" "ENST00000606888.3" 1
"24641" "1" 145961760 145961879 "-" "ENST00000606888.3" 4
"24642" "1" 145962421 145962968 "-" "ENST00000606888.3" 3
"24643" "1" 145963310 145963537 "-" "ENST00000606888.3" 2
"24644" "1" 179882285 179882502 "+" "ENST00000606911.7" 1
"24645" "6" 34392363 34392669 "-" "ENST00000607016.2" 1
"24646" "1" 152805479 152805498 "-" "ENST00000607093.2" 2
"24647" "1" 152806601 152806651 "-" "ENST00000607093.2" 1
"24648" "6" 138404223 138404495 "+" "ENST00000607197.6" 1
"24649" "1" 149851061 149851113 "+" "ENST00000607355.3" 1
"24650" "2" 240136285 240136305 "-" "ENST00000607357.2" 1
"24651" "15" 59682458 59682514 "-" "ENST00000607373.6" 2
"24652" "15" 59689135 59689320 "-" "ENST00000607373.6" 1
"24653" "2" 53973713 53973748 "+" "ENST00000607452.6" 2
"24654" "2" 53971113 53971321 "+" "ENST00000607452.6" 1
"24655" "6" 33711687 33711700 "-" "ENST00000607484.6" 1
"24656" "5" 136192525 136193162 "-" "ENST00000607574.2" 1
"24657" "19" 39480838 39480853 "+" "ENST00000607714.6" 1
"24658" "6" 154510115 154510685 "-" "ENST00000607772.6" 1
"24659" "6" 158170470 158170503 "+" "ENST00000607778.2" 2
"24660" "6" 158168350 158168395 "+" "ENST00000607778.2" 1
"24661" "2" 189661459 189661520 "+" "ENST00000607829.6" 1
"24662" "4" 140379121 140379170 "+" "ENST00000608372.6" 2
"24663" "4" 140373646 140373717 "+" "ENST00000608372.6" 1
"24664" "14" 64490534 64490540 "-" "ENST00000608382.6" 2
"24665" "14" 64503661 64503838 "-" "ENST00000608382.6" 1
"24666" "3" 49007391 49007431 "+" "ENST00000608424.6" 1
"24667" "19" 18541971 18541995 "-" "ENST00000608443.6" 2
"24668" "19" 18543486 18543573 "-" "ENST00000608443.6" 1
"24669" "1" 196888052 196888150 "+" "ENST00000608469.6" 1
"24670" "9" 120793149 120793257 "-" "ENST00000608872.6" 2
"24671" "9" 120793354 120793416 "-" "ENST00000608872.6" 1
"24672" "9" 120788259 120788278 "-" "ENST00000608872.6" 3
"24673" "4" 88284406 88284561 "-" "ENST00000608933.6" 1
"24674" "4" 88278584 88278642 "-" "ENST00000608933.6" 2
"24675" "20" 32673632 32673941 "-" "ENST00000608990.6" 1
"24676" "20" 32651153 32651166 "-" "ENST00000608990.6" 3
"24677" "20" 32651733 32651981 "-" "ENST00000608990.6" 2
"24678" "1" 202348699 202348851 "+" "ENST00000608999.6" 1
"24679" "10" 11597635 11597717 "-" "ENST00000609104.6" 2
"24680" "10" 11611443 11611650 "-" "ENST00000609104.6" 1
"24681" "1" 32465072 32465105 "+" "ENST00000609129.2" 1
"24682" "1" 32470584 32470624 "+" "ENST00000609129.2" 2
"24683" "7" 98212256 98212309 "+" "ENST00000609256.2" 2
"24684" "7" 98211439 98211498 "+" "ENST00000609256.2" 1
"24685" "16" 684320 684334 "-" "ENST00000609261.6" 1
"24686" "7" 100358117 100358302 "+" "ENST00000609309.3" 1
"24687" "11" 6411348 6411361 "-" "ENST00000609360.6" 2
"24688" "11" 6418985 6419094 "-" "ENST00000609360.6" 1
"24689" "4" 89250111 89250233 "-" "ENST00000609438.2" 2
"24690" "4" 89307615 89307800 "-" "ENST00000609438.2" 1
"24691" "20" 2692780 2693645 "+" "ENST00000609451.6" 1
"24692" "7" 128866330 128866409 "+" "ENST00000609480.4" 1
"24693" "21" 44600597 44600621 "+" "ENST00000609664.2" 1
"24694" "5" 141182387 141182559 "+" "ENST00000609684.3" 1
"24695" "12" 13979928 13980356 "-" "ENST00000609686.4" 2
"24696" "12" 13866209 13866226 "-" "ENST00000609686.4" 3
"24697" "12" 13981342 13981602 "-" "ENST00000609686.4" 1
"24698" "21" 37840683 37840709 "-" "ENST00000609713.2" 2
"24699" "21" 37915884 37916457 "-" "ENST00000609713.2" 1
"24700" "19" 41843578 41844683 "-" "ENST00000609812.6" 1
"24701" "19" 41839286 41839405 "-" "ENST00000609812.6" 2
"24702" "10" 68527376 68527523 "-" "ENST00000609923.6" 1
"24703" "1" 179852666 179852811 "-" "ENST00000609928.6" 4
"24704" "1" 179877693 179877803 "-" "ENST00000609928.6" 1
